path,area,preview
"backend/src/api/__init__.py","backend-api","router registration"
"backend/src/api/auth.py","backend-auth","authentication and plan assignment"
"backend/src/api/chat.py","backend-api","quota-guarded paid LLM route"
"backend/src/api/chat_stream.py","backend-api","quota and usage accounting for SSE"
"backend/src/api/lessons.py","backend-api","quota-guarded lesson route"
"backend/src/core/database.py","backend-core","indexes for plans and usage"
"backend/src/core/deps.py","backend-authz","authentication and quota dependency"
"backend/src/main.py","backend-runtime","startup plan seeding"
"backend/src/models/auth.py","backend-model","auth response plan fields"
"backend/src/models/user.py","backend-model","authoritative plan and usage state"
"frontend/src/components/AIExplanationChat.tsx","frontend-chat","quota UI and upgrade modal"
"frontend/src/components/landing/Navbar.tsx","frontend-ui","pricing navigation"
"frontend/src/lib/useChatStream.ts","frontend-chat","quota error handling"
"frontend/src/messages/en.json","frontend-i18n","pricing and quota copy"
"frontend/src/messages/vi.json","frontend-i18n","pricing and quota copy"
"frontend/src/types/auth.ts","frontend-model","client plan and usage types"
"SKILLS/skills/plan-then-build/SKILL.md","developer-skill","developer workflow instructions"
"SKILLS/skills/spec-driven/SKILL.md","developer-skill","developer workflow instructions"
"SKILLS/skills/test-first/SKILL.md","developer-skill","developer workflow instructions"
"SKILLS/skills/think-hard-zone/SKILL.md","developer-skill","developer workflow instructions"
"SKILLS/skills/validate-before-implement/SKILL.md","developer-skill","developer workflow instructions"
"backend/src/api/plans.py","backend-api","public plan catalog"
"backend/src/api/subscription.py","backend-authz","subscription state mutation"
"backend/src/api/user.py","backend-api","authenticated usage response"
"backend/src/models/plan.py","backend-model","plan schema and validation"
"backend/src/models/usage_log.py","backend-model","usage audit schema"
"backend/src/services/plan_service.py","backend-service","plan seeding and management"
"backend/src/services/usage_service.py","backend-service","quota check and usage mutation"
"backend/tests/unit/test_plan_model.py","backend-test","plan model coverage"
"backend/tests/unit/test_plan_service.py","backend-test","plan service coverage"
"backend/tests/unit/test_subscription_api.py","backend-test","subscription authorization coverage"
"backend/tests/unit/test_usage_service.py","backend-test","quota accounting coverage"
"backend/tests/unit/test_user_api.py","backend-test","usage endpoint coverage"
"frontend/src/app/[locale]/pricing/PricingClient.tsx","frontend-pricing","pricing selection and upgrade action"
"frontend/src/app/[locale]/pricing/page.tsx","frontend-pricing","public pricing page"
"frontend/src/components/UpgradeModal.tsx","frontend-pricing","upgrade action modal"
"frontend/src/components/UsageCounter.tsx","frontend-pricing","quota display and plan state"
"frontend/src/lib/planApi.ts","frontend-api","plans subscription and usage client"

